date,tweet,label,
02-01-20 15:41,"Hannah Fry (@FryRsquared) shares seven secrets of the online world (aka a beginner’s guide to algorithms)

👉https://t.co/fUIUWgo7L8",no,
02-01-20 16:51,"Twenty questions for @GeorgeThePoet, the last of this year's @BBCR4Today guest editors. https://t.co/iWJnpWImR2",no,
02-01-20 17:01,"RT @BBCOne: A little chaos is a wonderful thing. #DoctorWho

Spyfall, Part 2 | BBC One | Sunday, 7pm https://t.co/xz7FR5hc0n",no,
02-01-20 22:27,"RT @BBCSport: One day you’re tattooing @KingJames, @ThierryHenry or @LewisHamilton and the next you're BEING tattooed by @rihanna! 

Meet B…",no,
02-02-20 11:01,"It’s that time of year again… Get Your Kit On for @SportRelief!  🙌

Get your FREE fundraising pack  👉… https://t.co/wcdbeUqGPr",no,
02-02-20 13:01,We sent an adorable spy to find out more about the ingenious way sea otters protect their pups from danger in the o… https://t.co/MrMqcQgFch,no,
02-02-20 14:01,"The #6Nations continues today, with live coverage of #FranceVEngland on @BBCOne &amp; @BBCiPlayer from 2:30pm.  🙌

👉… https://t.co/ICGXAIVdFp",yes,6 Nations
02-02-20 16:01,"Could you train like an #NFL quarterback?  🏈

#SuperBowl #SuperBowl54

https://t.co/FCEyfriHcD",no,
02-02-20 18:39,"Queen of Dragons = Queen of the Red Carpet! Emilia Clarke is here! 🐉😍

#BAFTAs 9pm @BBCOne #BAFTA https://t.co/AdcvL1Z56v",no,
02-02-20 18:43,"Funny AND fabulous... It's the one and only @RebelWilson! 🙌😃

#BAFTAs 9pm @BBCOne #BAFTA https://t.co/mDmX7Cbf3w",no,
02-02-20 18:50,Let's hear it for Olivia Colman! 😃👏 https://t.co/7nQU3M6qbn,no,
02-02-20 19:01,"It's almost time for the #BAFTAs! ✨

@grahnort hosts the ceremony from the Royal Albert Hall in London.

9pm |… https://t.co/2DJjX12pBg",yes,BAFTA
02-02-20 19:01,"RT @BAFTA: A warm welcome to Their Royal Highnesses The Duke &amp; Duchess of Cambridge, who have arrived on the red carpet for the #EEBAFTAs @…",yes,BAFTA
02-02-20 21:00,"The stars are out tonight for the year's biggest British film event!

The #BAFTAs are starting now on @BBCOne! 🤩🎥🎞🏆
@BAFTA #BAFTA",yes,BAFTA
02-02-20 21:14,"RT @BBCOne: 🎥🎞 A phenomenon of British cinema. 👏

#1917Movie has won the @BAFTA for #OutstandingBritishFilm! 🏆
#BAFTAs #BAFTA https://t.co/…",yes,Winning BAFTA
02-04-20 14:21,"RT @BBCSounds: 7 things that you might think are true about autistic people… 

This #WorldAutismAwarenessDay, listen to Series 2 of 1800 Se…",no,
02-04-20 17:49,"RT @BBCSport: Ah good times! 🇬🇧🥇🎉 

We cannot wait to relive the London 2012 opening ceremony on @BBCOne 

Details: https://t.co/YMJduIC5TZ…",yes,London2012
03-01-20 7:55,.@ProfBrianCox explores some of the most inspirational figures in the history of science in discussion with the rem… https://t.co/HG6cjPjXD5,no,
03-01-20 7:55,.@ProfBrianCox explores some of the most inspirational figures in the history of science in discussion with the rem… https://t.co/HG6cjPjXD5,no,
03-01-20 8:43,"The team search for answers in the wreckage of a plane crash - was it a terrible accident, or something more sinist… https://t.co/f01mEb1RxG",yes,Plane crash
03-01-20 9:10,"RT @bbcideas: Ever wondered where the last year (or decade) of your life went? 

Neuroscientist @DavidEagleman sheds some light on the time…",no,
03-01-20 13:00,"If you could send a song from the 2010s back to the 60s, what would you choose?

Martin Freeman looks back on the l… https://t.co/dP1PFDuSUL",no,
03-01-20 15:22,"RT @BBCOne: The story of how Jamie Dornan learnt to walk (Aged 31) is BRILLIANT! 🤣

Watch more magic from #TheGNShow with Graham Norton's G…",no,
03-01-20 15:22,"RT @BBCTwo: Let's settle this debate, 'a-tissue' or 'achoo'? The answer may surprise you... 🤔 #QI https://t.co/fxkKOHZJH8",no,
03-01-20 15:24,From tickling whales to a smashing time with chimps. The #sevenworldsoneplanet team pick some of their favourite mo… https://t.co/2BRfBxEtYv,no,
03-01-20 15:43,"💥THE FUTURE IS HERE💥
…and what do young people think about it?

👉 https://t.co/CVjMQ1WFuy

#WordsFirst… https://t.co/ZyVfrVmBpQ",no,
03-01-20 20:22,RT @BBCOne: 😬 #Dracula https://t.co/epYdAR4521,no,
03-01-20 20:22,"RT @bbcpress: #TheGreatestDancer is back! Look out for some new faces tomorrow at 7pm on 
@BBCOne...

💫 @CherylOfficial
💫 Matthew Morrison…",yes,TheGreatestDancer
03-05-20 12:23,"""At times of crisis, reliable news and information from Public Service Broadcasters is more important than ever.… https://t.co/cOtIjus70S",no,
03-06-20 13:01,"""I hope this is a learning point for many people.""

@GeorgethePoet on @BBCNewsnight.
https://t.co/F14xxj6YRH",no,
04-01-20 10:00,"After his daughter was in a devastating accident, Craig gave up his business to spend more time with her.

Last yea… https://t.co/803aGNdP4g",yes,Accident
04-03-20 10:20,"RT @bbcbitesize: Maths can help with costume design? 😯

@BBC_Teach are speaking to people behind Harry Potter and Fantastic Beasts in an in…",no,
04-06-20 7:01,"George Floyd death: Why US protests resonate in the UK.

👉 https://t.co/ARcNoSc5br https://t.co/1c6aELe31T",yes,George Floyd death
05-01-20 11:41,RT @BBCOne: Me drastically changing the terms of my Dry January agreement five days into the year… #Dracula https://t.co/blaeaYY08H,no,
05-01-20 11:42,RT @BBCArchive: #OnThisDay 1981: The BBC television adaptation of The Hitchhiker's Guide to the Galaxy first aired. Pictured is Douglas Ada…,no,
05-01-20 11:42,"RT @BBCMOTD: When you score against the current #FACup holders! 👏

Look how much that meant to Tom Pope! 🙌

#MOTD #FACup on @BBCOne &amp; onlin…",no,
05-01-20 12:04,"“I think the war was a continuation of his academic work…it was just applied in a way that shortened the war.”

The… https://t.co/O1wJxR0uMX",no,
05-03-20 9:01,"A £5m homeless centre has opened in east London, and it all began with a £5 donation from Malachi's tooth fairy mon… https://t.co/CTuua9sRJb",yes,Opening homeless center
05-04-20 15:01,"""Can I go out on a limb and say he's a 'Bad Guy'?"" 😂

@AnnaKendrick47 and @jtimberlake were BRILLIANT on… https://t.co/5TplJKD2Uc",no,
06-01-20 9:31,"British stars have had a golden night at the #GoldenGlobes, with Phoebe Waller-Bridge's #Fleabag winning two prizes… https://t.co/H1dRb3mFIJ",yes,GoldenGlobes
06-01-20 11:33,RT @bbcpress: Congratulations to #Fleabag for winning Best Television Series - Musical or Comedy. #GoldenGlobes https://t.co/WS69HQeexk htt…,yes,wining Best Television Series
06-01-20 11:33,RT @bbcpress: Congratulations to #MichelleWilliams for winning Best Performance by an Actress in a Limited Series or a Motion Picture Made…,yes,wining Best Performance
06-01-20 11:33,RT @bbcpress: Congratulations to #PhoebeWallerBridge for winning Best Performance by an Actress in a Television Series - Musical or Comedy…,yes,wining Best Performance
06-01-20 13:01,"""I sneezed into his open mouth."" 

Your #MirandaMoments are amazing and truly horrendous 😂@mermhart #Miranda
https://t.co/i37Y53XIPJ",no,
06-01-20 13:01,"""I sneezed into his open mouth."" 

Your #MirandaMoments are amazing and truly horrendous 😂@mermhart #Miranda
https://t.co/i37Y53XIPJ",no,
06-01-20 17:00,"Ever wondered why long silences feel SUPER awkward? 🤐 #QI
https://t.co/qG6g6BwXYa",no,
06-01-20 19:01,"Egg, newborn... same difference.

#YoungOffenders | Via @BBCThree
https://t.co/Zlk2N3TWdX",no,
06-02-20 7:26,"RT @BBCOne: Thanks for everything, Thomas. ❤️

#SilentWitness https://t.co/GUZDBeMEh1",no,
06-02-20 8:01,"After being attacked in a nightclub, @CurtisPritchard was worried that he might never be able to dance again.… https://t.co/paclKa9oPf",yes,Nightclub Attack
06-02-20 9:01,"When you've got that wanderlust... but you're also indecisive.  🤦‍♀️

#GoodOmens | Streaming now on @BBCiPlayer.
https://t.co/13meTa5H8s",no,
06-02-20 13:01,"Got (plant-based) milk?  🥛🌱

Which alternatives pack the best nutritional punch? 

#TrustMeImADoctor
https://t.co/42eaX6Xz9V",no,
06-02-20 17:01,"Kenyan musician @HeyHeyBlinky speaks on art in Africa, his experience with depression and the stigma around mental… https://t.co/6nDLSpgn8z",no,
06-02-20 19:01,Farmers in Mexico handle sulphuric acid with no safety equipment to make candelilla wax for the leading cosmetics b… https://t.co/Yr8v0VnNvo,no,
06-04-20 9:08,.@MrMotivator has been getting the UK MOVING every morning!  💪 https://t.co/3ViNTfePdj,no,
07-01-20 9:00,"Tom has cystic fibrosis, but that hasn't stopped him from doing what he loves - dancing. ❤️  #TheGreatestDancer
https://t.co/KgGK8Nnvmt",no,
07-01-20 9:12,"RT @BBCWorld: Joaquin Phoenix's movie has 11 nominations, including best film 🎬🃏 https://t.co/sSMO70Vmqo",no,
07-01-20 12:01,"Let's settle this debate, 'a-tissue' or 'achoo'? The answer may surprise you... 🤔 #QI
https://t.co/OnCwZVMCiD",no,
07-01-20 18:22,@BryceSLambert @qikipedia @sanditoksvig Instant proof! 😂,no,
07-01-20 19:01,"#SilentWitness is back! The team search for answers in the wreckage of a plane crash.

9pm | @BBCOne &amp; @BBCiPlayer.… https://t.co/11UxV78NNR",no,
07-01-20 20:01,"Even in the devastation of a plane crash, miracles can happen.

#SilentWitness | 9pm | @BBCOne &amp; @BBCiPlayer. https://t.co/u9dsluDriF",no,
07-02-20 8:01,"These classrooms are made out of 100% plastic waste! ♻️
https://t.co/8NnZiiWPJB",no,
07-02-20 9:01,"""They've bulldozed 140 acres down and just killed all of our koalas.""

A woman's emotional response to finding dead… https://t.co/IKej8UDWtl",yes,Koalas death
07-02-20 12:58,"In 1980s movies, the teens really knew how to dance #BBCInsideCinema https://t.co/OWnhuZXypR",no,
07-02-20 17:01,".@AliPlumb chats to Margot Robbie ahead of #BirdsOfPrey. And it's everything we could have wishes for.

Watch the f… https://t.co/W0uAoB7Jh5",no,
07-02-20 18:18,RT @HackerTDog: RETWEET IF YOU’RE GOING TO GET THAT #FRIDAYFEELING BY WATCHING MY ACE NEW FILM WITH @mattcoyney ABOUT HOW TO WRITE A BOOK!…,no,
07-05-20 19:32,"RT @bbcbitesize: If the sky is clear tonight, you’ll be able to see the last #SuperMoon of 2020’! 😮🔭🌕

What else can we see in the sky? We…",yes,SuperMoon 
08-01-20 9:05,These chimps were saved from the illegal pet trade. Now they have developed a close relationship with Princess the… https://t.co/g8cFWiL4uG,no,
08-01-20 9:40,"RT @bbcpress: 🧙 Muggles to show the wizarding world that the #fantasticbeasts in our world are more than a match for theirs, when @stephenf…",no,
08-01-20 9:40,"RT @BBCTwo: The end is nigh ⚡️

#GoodOmens starts on 15th January on @BBCTwo &amp; @BBCiPlayer. https://t.co/5xAMtrqZmB",no,
08-01-20 9:41,"RT @BBC6Music: “Searching for music, is like searching for God...”

The opening line of a @DavidBowieReal documentary where he shares musin…",no,
08-01-20 9:41,"RT @BBCSport: What a great idea! 👏

Roger Federer, Serena Williams &amp; Rafael Nadal are set to play in a fundraising match in Australia to ra…",no,
08-01-20 13:01,"Do you sometimes feel you're not quite good enough? You may have imposter syndrome...
https://t.co/gf4tmxDGEK",no,
08-01-20 17:01,"13-year-old Sir Darius Brown's bow ties for dogs have helped around 200 dogs across the US get adopted faster. ❤️
https://t.co/cR9V8fF47m",no,
08-01-20 18:48,"RT @BBCBreaking: Prince Harry and Meghan to step back as ""senior"" royals and divide time between UK and North America, palace says https://…",no,
08-02-20 12:01,"Would you spend the night in a caravan up a tree? 😲🌳🚐 

@FrankieBoyle's Tour Of Scotland | Streaming now on… https://t.co/lCqb5qNifd",no,
08-03-20 16:01,"Probably the best gesture ever made.

#TheMightyBoosh is streaming now on @bbcthree.
https://t.co/mIdJobRwPV",no,
08-04-20 7:01,"""Are you sure they said 18 months for self-isolation...?"" 

@JudyMurray is trying to keep son @Duncan__Murray as fa… https://t.co/EoG90i08pk",no,
08-12-20 8:49,"b'Dubbed as V-Day, UK begins to roll out Pfizer COVID-19 vaccine, as 90-year-old grandmother becomes first person in\xe2\x80\xa6 https://t.co/b6U4qh1sd6'",yes,Covid vaccine
08-12-20 9:15,b'Unidentified disease in India kills one and leaves more than 400 hospitalised https://t.co/q2DepEcIpV https://t.co/2Y8kbmMObs',yes,Unidentified disease
08-12-20 10:15,"b""Sources say Hanan Ashrawi's resignation is in protest against the Palestinian Authority\xe2\x80\x99s decision to resume coordi\xe2\x80\xa6 https://t.co/xPeRG289lF""",yes,Hanan Ashrawi's resignation
08-12-20 11:06,b'Kuwait\xe2\x80\x99s Emir reappoints Sheikh Sabah as Prime Minister following parliamentary polls in the Gulf Arab state \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/N8hjkd6hVO',yes,Prime Minister reappointing
08-12-20 11:30,"b""The consequences of a 'no-deal' Brexit will be devastating, but that doesn't worry the right wing of the UK governm\xe2\x80\xa6 https://t.co/iNmeI7oNtz""",yes,no-deal' Brexit
08-12-20 12:30,"b'American University of Beirut announces massive tuition increase, a move tied to Lebanon\xe2\x80\x99s spiraling economic colla\xe2\x80\xa6 https://t.co/sZlCmbNDDP'",yes,Tuition increase
08-12-20 14:22,"b""Iraq's President Barham Salih calls for an end to violence in Sulaymaniyah protests https://t.co/OP9Sqgwwsa https://t.co/Jn18qwoSuT""",yes,Sulaymaniyah protests
08-12-20 14:30,"b""\xf0\x9f\x93\x8aToday is the 40th anniversary of John Lennon's death. Here are some of the biggest numbers from his life and legac\xe2\x80\xa6 https://t.co/AVwghS9fw8""",yes,John Lennon's death anniversary 
08-12-20 16:30,b'\xf0\x9f\x92\x89 EU delegation pledges to provide COVID-19 tests and vaccines to Gaza \n\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf Scottish health authorities begin m\xe2\x80\xa6 https://t.co/qNX0Jh5xwo',yes,Gaza COVID-19 tests and vaccines
08-12-20 17:00,"b'RT @AJUpFront: After a video of police beating a black man in Paris went viral, French MPs will rewrite part of their new security law. But\xe2\x80\xa6'",yes,Rewriting French security law
08-12-20 17:15,"b""UAE and Egypt praise Saudi Arabia's efforts to resolve the Gulf crisis with Qatar https://t.co/NuUgbZFIiG https://t.co/Xu6vjmj0Ud""",yes,Qatar Gulf crisis
08-12-20 19:15,"b'COVID-19 vaccine by Oxford-AstraZeneca has 70% efficacy, according to final trial data https://t.co/984XLPqLfL https://t.co/Zwp3p1iHqY'",yes,COVID-19 vaccine
08-12-20 19:51,"b'More than 60,000 koalas were among the animals killed or hurt by the bushfire crisis in Australia a year ago\xe2\x80\xa6 https://t.co/rNcpIeoyap'",yes,Australian bushfire
08-12-20 20:15,b'Ethiopian forces have fired at a UN team as aid groups seek access to the embattled Tigray region\xe2\x80\xa6 https://t.co/gMH8Hu3BJU',yes,Firing UN Team
08-12-20 21:45,b'US judge dismisses case against former Security Adviser Flynn due to Trump pardon \xe2\x80\x93 but says this does not prove in\xe2\x80\xa6 https://t.co/tLT6zveLRf',yes,Dismissing Flynn case
08-12-20 22:03,"b'RT @AJEnglish: ""I think no deal is better than a bad deal."" \n\nPost-Brexit talks hang in the balance as Britain and EU make a last-ditch eff\xe2\x80\xa6'",yes,Post-Brexit
08-12-20 22:15,"b""Israel's Gideon Saar, main rival of PM Netanyahu, announced he's breaking away to form a new political party\xe2\x80\xa6 https://t.co/Hp83vUNpzF""",yes,Breaking political party
08-12-20 22:30,"b""US 'safe harbor' deadline marks the beginning of the end of Trump election challenges and Biden's victory\xe2\x80\xa6 https://t.co/yATBkB3ZHw""",yes,US election
08-12-20 22:45,b'Zimbabwe police warn of crackdown on \xe2\x80\x98cyberbullying\xe2\x80\x99 of officials https://t.co/Xr9QEexMHl https://t.co/umovxr3uD0',yes,Zimbabwe crackdown
09-01-20 8:01,"📣 TEACHERS!
There is a #500Words Live Lesson taking place on Thursday 16th January.  🙌
All information here 👉… https://t.co/MYwF7evh0Y",no,
09-01-20 13:01,"How would you feel if your CEO sat at the desk next to you?  👩‍💻👨‍💻
👉 https://t.co/ESVVv9gEWi https://t.co/xBnFTyxbiM",no,
09-01-20 16:21,RT @bbcwritersroom: Emma's part of our Comedy Room writers' group and a load of funny works in progress were on the laptop. Please help or…,no,
09-01-20 16:21,RT @bbcwritersroom: Emma's part of our Comedy Room writers' group and a load of funny works in progress were on the laptop. Please help or…,no,
09-01-20 17:01,"Meet Ella, the baby chimpanzee adapting to life outside of the illegal pet trade.
#BabyChimpRescue | 8pm | @BBCTwo… https://t.co/hTrTF03Ze1",no,
09-01-20 17:30,"Huge congratulations to @Celeste, this year's #SoundOf2020 WINNER! 👏❤️✨ 

Find out more about Celeste and the 2020… https://t.co/twyN8vot9S",yes,Winning SoundOf2020 
09-02-20 12:01,"It may be horrible weather, but you can feel instantly tropical making this one-ingredient banana ice cream!  🍌🍦
https://t.co/PknK2eCUbe",no,
09-04-20 15:24,"""Stay strong, stay positive. You're amazing"".

Four tips from @bbcdoctorwho to get you through self-isolation. ❤️ https://t.co/8l9GFs4nLi",no,
09-12-20 0:31,"b'Over 400,000 people in Honduras and Guatemala are in urgent need of humanitarian aid after being hit by storms\xe2\x80\xa6 https://t.co/6rMtmHH5Za'",yes,Honduras and Guatemala storms
09-12-20 2:45,"b""After five years of planning, a pandemic and a failed kidnapping, China's He Art Museum is finally open\xe2\x80\xa6 https://t.co/o6xMFu9JLI""",yes,Opening China's He Art Museum
09-12-20 5:30,"b""The world's largest mammal migration is crucial for restoring forests in Africa \xe2\x80\x93 and are in danger\xe2\x80\xa6 https://t.co/0GhiLf5mCE""",yes,Restoring African forest
09-12-20 5:45,"b'US Army fires, suspends 14 soldiers over violence at base https://t.co/uY2OTzjlzQ'",yes,Suspending soldiers
09-12-20 6:06,b'Deforestation razed eight percent of Amazon in 18 years: Study https://t.co/SS6VSak4Ct',yes,Amazon Deforestation 
09-12-20 21:15,b'Pfizer and BioNTech reveal hackers stole COVID-19 vaccine info in cyberattack https://t.co/eaV2hsOWhI https://t.co/93dRjvZ7kR',yes,COVID-19 vaccine
10-01-20 9:01,"We all know someone who needs to chill on the overly-long Instagram captions... ✍️📚😂
@AmplifyDot | #HashtagTrashbag… https://t.co/tQ8tBOZkOE",no,
10-01-20 11:16,"RT @bbcarts: All aboard! Trainspotting at the movies, as 🎬#BBCInsideCinema takes an in-depth survey of trains on film, exploring how the tr…",no,
10-01-20 11:20,"Why tonight's full-moon has an unusual name 🌕🌝
https://t.co/HQpG2rxMr8",no,
10-01-20 13:01,Climate change means the Greenland ice sheet is melting at a phenomenal rate - but here's how hunter Julius Nielsen… https://t.co/ncaE3LjhJd,no,
10-01-20 13:48,How was your first week back? https://t.co/568rYvSg17,no,
10-01-20 14:01,"Here’s how @PeterCrouch decided to celebrate the return of #ThatPeterCrouchPodcast… 👀

Listen now on @BBCSounds 🎧… https://t.co/x3n9hgU6Li",no,
10-01-20 18:49,RT @HackerTDog: #FunFactFriday I have a top notch new film out about @thenextstep. Tell everyone to watch it on the link below if they want…,no,
10-01-20 20:01,"Tonight on @grahnort's sofa...

⭐ Miriam Margolyes ⭐ Daniel Radcliffe  ⭐@AlanCumming  ⭐ @SharonHorgan  ⭐@CraigDavid… https://t.co/Mt51xgLPGk",no,
10-02-20 17:01,".@MarkRuffalo made a BIG mistake at the Thor premiere... 😂🙈 

#TheGNShow | Streaming now on @BBCiPlayer.
https://t.co/2QjvwuMmLo",no,
10-12-20 13:15,b'Lebanon\xe2\x80\x99s outgoing Prime Minister Hassan Diab and three former ministers charged over Beirut blast\xe2\x80\xa6 https://t.co/h6kHAanvAT',yes,Beirut blast
10-12-20 14:00,"b""Shady Rizk is one of thousands who were wounded in August's deadly Beirut blast.\n\nHe shares his personal story as h\xe2\x80\xa6 https://t.co/gdOvftqfwG""",yes,Beirut blast
10-12-20 16:00,b'The Lebanese prime minister has been charged over the devastating Beirut explosion back in August. So what happened\xe2\x80\xa6 https://t.co/JLVq8YoEjY',yes,Beirut explosion
10-12-20 17:30,"b""August's Beirut blast killed at least 200 people and injured thousands of others.\n\nWe remember some of the victims\xe2\x80\xa6 https://t.co/Pcm9JFH831""",yes,Beirut blast
10-12-20 18:15,b'Italian football legend Paolo Rossi dies aged 64 https://t.co/LAga18Hi5P https://t.co/Lqcn01D45S',yes,Paolo Rossi death
11-01-20 12:01,"We can all learn a thing or two from @Adam_Pearson. 👏
#CelebrityMastermind | Streaming now on @BBCiPlayer.
https://t.co/rQ6BXfP7Gl",no,
11-01-20 14:01,"How @SevernSuzuki warned the world about environmental destruction... back in 1992, when she was just 12!
https://t.co/1WbXVNc1yn",no,
11-01-20 18:01,"""You get to kill all these people, without actually having to lay a hand on them…""
#SilentWitness | Streaming now o… https://t.co/URm4fVkcte",no,
11-01-20 18:24,@VarietyD @Adam_Pearson @BBCiPlayer Agreed 🙌,no,
11-01-20 18:26,@kpcuk I feel this 😂,no,
11-02-20 9:01,"This robot dog is being used in therapy to help people living with dementia. 🐶
https://t.co/veBGuYLgCp",no,
11-02-20 10:07,"RT @bbcbitesize: Stay safe. Be kind. 🧡

Why do people troll and what can you do about it? #SaferInternetDay
👉 https://t.co/uYm3hfCDk2 https…",no,
11-03-20 16:37,RT @BBCBreaking: Coronavirus outbreak labelled as pandemic by World Health Organization https://t.co/SsaIayPlaZ,yes,Coronavirus outbreak
12-01-20 12:01,"Everyone has that one friend doing #DryJanuary... 😂 
#TheMashReport | Streaming now on @BBCiPlayer.
https://t.co/t62ZeD0bku",no,
12-01-20 16:52,"What happens when you let the QI team loose with baking ingredients?  😂 
#QI | Streaming now on @BBCiPlayer.
https://t.co/8fcowdGDgH",no,
12-02-20 8:01,"""I knew instantly something was different, something was wrong..."" 😂

Listener Tom told 
@GregJames and… https://t.co/sXsdj5ictm",no,
12-02-20 13:01,".@ChefTomKerridge has a genius ingredient swap to make these brownies much healthier! 😋

#LoseWeightGetFit is on… https://t.co/pVZlaDysvL",no,
12-02-20 19:01,"“Where we were from it was just unheard of for a boy to be dancing, especially a black boy”.

Performing means ever… https://t.co/SK4LMNFHhZ",no,
12-03-20 9:01,"Just wondering how we can sign up to this book club? 📚

#ThisCountry | @bbcthree
https://t.co/wK5eA7cx75",no,
12-03-20 17:01,"Here are five tips for a more elastic mind!  🧠
https://t.co/rbkOLbDNUV",no,
12-10-20 16:01,"""More than 12 million Africans were trafficked. More than 2 million died en route. We thought it was worth telling… https://t.co/akCYMDFNBE",yes,Trafficking African
01-01-21 13:15,b'South Sudan floods displace a million as hunger and diseases loom https://t.co/pC1UecIreB https://t.co/Cn4zNlJc9y',yes,South Sudan floods
01-01-21 14:58,b'Afghan radio journalist Besmullah Adel Aimaq is shot dead in car ambush https://t.co/LtWwW4qyYz https://t.co/GeICJA7ksm',yes,Radio journalist shot
01-01-21 16:30,b'Dozens of farmers were \xe2\x80\x98killed by ADF rebels\xe2\x80\x99 in DR Congo https://t.co/isKJQcVcxP https://t.co/A1bfLu1Vfa',yes,Killing Farmers
01-01-21 18:38,b'At least 11 people were killed and several injured reported during New Year\xe2\x80\x99s Eve celebrations around the world\xe2\x80\xa6 https://t.co/2xJfQmtQkM',yes,Killing on New Year
01-01-21 21:45,b'Trump administration adds Cuban bank to US restricted list https://t.co/luSe3gtHxQ',yes,US restriction
01-01-21 22:00,b'ISIL claims deadly Chechnya knife attack https://t.co/GQNM92HgrK',yes,Chechnya knife attack
01-01-21 22:45,b'\xe2\x80\x98Our children die in our hands\xe2\x80\x99: Floods ravage South Sudan https://t.co/J7aoXNpxyo',yes,South Sudan flood
01-01-21 23:44,b'US and Iran ratchet up military activity as concerns increase ahead of Soleimani killing anniversary https://t.co/QYS1M4iGna',yes,Soleimani killing anniversary
02-01-21 0:15,b'US appeals court reverses order to delay woman\xe2\x80\x99s execution https://t.co/Z8AabdgjAg',yes,US appeal
02-01-21 15:15,b'Pakistan arrests Mumbai attacks \xe2\x80\x98plotter\xe2\x80\x99 for terrorism financing https://t.co/71Ya21Xlm5',yes,Mumbai attacks
